3604650,NY-010201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,Albany County,1738 HELDERBERG TRAIL,BERNE,NY,12023,2926,(518)872-1293,725,77.07,2,42,Rural: Distant,9.4,Regular School District
3604710,NY-010306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,Albany County,700 DELAWARE AVE,DELMAR,NY,12054,,(518)439-7098,4236,338.27,7,21,Suburb: Large,12.5,Regular School District
3604740,NY-280521030000,BETHPAGE UNION FREE SCHOOL DISTRICT,Nassau County,10 CHERRY AVE,BETHPAGE,NY,11714,1596,(516)644-4001,2937,258.81,5,21,Suburb: Large,11.3,Regular School District
3600967,NY-320700860915,BGLIG-SHIRLEY RODRIGUEZ-REMENESKI CS,Bronx County,750 CONCOURSE VILLAGE W-LOWER LEVEL,BRONX,NY,10451,,(718)993-1740,397,23,1,11,City: Large,17.3,Other Education Agency
3604870,NY-030200010000,BINGHAMTON CITY SCHOOL DISTRICT,Broome County,PO BOX 2126,BINGHAMTON,NY,13901,2126,(607)762-8100,5017,510.73,10,13,City: Small,9.8,Regular School District
3624630,NY-661905020000,BLIND BROOK-RYE UNION FREE SCHOOL DISTRICT,Westchester County,390 N RIDGE ST,RYE BROOK,NY,10573,1105,(914)937-3600,1351,118,3,21,Suburb: Large,11.4,Regular School District
3601198,NY-320800861143,BOLD CHARTER SCHOOL,Bronx County,1090 CLOSE AVE,BRONX,NY,10472,,(929)506-4369,187,12,1,11,City: Large,15.6,Other Education Agency
3600012,NY-022902040000,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,Allegany County,100 SCHOOL ST,BOLIVAR,NY,14715,1235,(585)928-2561,718,66.51,3,42,Rural: Distant,10.8,Regular School District
3605010,NY-630101040000,BOLTON CENTRAL SCHOOL DISTRICT,Warren County,PO BOX 120,BOLTON LANDING,NY,12814,120,(518)644-2400,183,26,1,42,Rural: Distant,7,Regular School District
3601189,NY-151801040000,BOQUET VALLEY CSD,Essex County,PO BOX 158,ELIZABETHTOWN,NY,12932,158,(518)962-8244,453,48,2,42,Rural: Distant,9.4,Regular School District
3601115,NY-320700860994,BOYS PREPARATORY CHARTER SCHOOL OF NEW YORK,Bronx County,192 E 151ST ST,BRONX,NY,10451,,(212)346-6000,772,61,1,11,City: Large,12.7,Other Education Agency
3605220,NY-570401040000,BRADFORD CENTRAL SCHOOL DISTRICT,Schuyler County,2820 RT 226,BRADFORD,NY,14815,9602,(607)583-4616,240,30.4,1,42,Rural: Distant,7.9,Regular School District
3627960,NY-510101040000,BRASHER FALLS CENTRAL SCHOOL DISTRICT,St. Lawrence County,PO BOX 307,BRASHER FALLS,NY,13613,307,(315)389-5131,997,83.99,3,42,Rural: Distant,11.9,Regular School District
3605280,NY-580512030000,BRENTWOOD UNION FREE SCHOOL DISTRICT,Suffolk County,52 3RD AVE,BRENTWOOD,NY,11717,6198,(631)434-2325,18320,1186.35,17,21,Suburb: Large,15.4,Regular School District
3605310,NY-480601060000,BREWSTER CENTRAL SCHOOL DISTRICT,Putnam County,30 FARM-TO-MARKET RD,BREWSTER,NY,10509,2703,(845)279-8000,3030,263.18,4,41,Rural: Fringe,11.5,Regular School District
3605340,NY-661402020000,BRIARCLIFF MANOR UNION FREE SCHOOL DISTRICT,Westchester County,45 INGHAM RD,BRIARCLIFF MANOR,NY,10510,2221,(914)432-8115,1358,129.52,3,21,Suburb: Large,10.5,Regular School District
3601213,NY-353100861144,BRIDGE PREPARATORY CHARTER SCHOOL,Richmond County,715 OCEAN TERRACE-BLDG E,STATEN ISLAND,NY,10301,,(718)274-3437,157,19,1,11,City: Large,8.3,Other Education Agency
3605370,NY-580909020000,BRIDGEHAMPTON UNION FREE SCHOOL DISTRICT,Suffolk County,PO BOX 3021,BRIDGEHAMPTON,NY,11932,3021,(631)537-0271,210,55.7,1,41,Rural: Fringe,3.8,Regular School District
3600032,NY-010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,Albany County,116 N LAKE AVE,ALBANY,NY,12206,2710,(518)694-8200,258,20,1,13,City: Small,12.9,Other Education Agency
3600033,NY-010100860830,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,Albany County,250 CENTRAL AVE,ALBANY,NY,12206,2610,(518)694-4100,281,22,1,13,City: Small,12.8,Other Education Agency
3605460,NY-260101060000,BRIGHTON CENTRAL SCHOOL DISTRICT,Monroe County,2035 MONROE AVE,ROCHESTER,NY,14618,2027,(585)242-5200,3417,270.75,4,21,Suburb: Large,12.6,Regular School District
3601221,NY-321000861160,BRILLA CARITAS CHARTER SCHOOL,Bronx County,2336 ANDREWS AVE,BRONX,NY,10468,,(347)273-8439,98,0,1,11,City: Large,†,Other Education Agency
3601108,NY-320700861014,BRILLA COLLEGE PREPARATORY CHARTER SCHOOL,Bronx County,413 E 144TH ST,BRONX,NY,10454,,(347)273-8439,793,54,1,11,City: Large,14.7,Other Education Agency
3601222,NY-321000861161,BRILLA PAX CHARTER SCHOOL,Bronx County,2336 ANDREWS AVE,BRONX,NY,10468,,(347)273-8439,94,0,1,11,City: Large,†,Other Education Agency
3601165,NY-320700861106,BRILLA VERITAS CHARTER SCHOOL,Bronx County,600 E 156TH ST,BRONX,NY,10455,,(347)273-8439,367,29,1,11,City: Large,12.7,Other Education Agency
3600005,NY-171102040000,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,Fulton County,20 PINE ST,BROADALBIN,NY,12025,3128,(518)954-2500,1778,133.89,2,42,Rural: Distant,13.3,Regular School District
3605580,NY-261801060000,BROCKPORT CENTRAL SCHOOL DISTRICT,Monroe County,40 ALLEN ST,BROCKPORT,NY,14420,2296,(585)637-1810,3197,251.61,5,31,Town: Fringe,12.7,Regular School District
3605610,NY-062301040000,BROCTON CENTRAL SCHOOL DISTRICT,Chautauqua County,138 W MAIN ST,BROCTON,NY,14716,9749,(716)792-2173,562,53.47,2,42,Rural: Distant,10.5,Regular School District
3600956,NY-320900860913,BRONX ACADEMY OF PROMISE CHARTER SCHOOL,Bronx County,1349 INWOOD AVE,BRONX,NY,10452,3222,(718)293-6950,588,51,1,11,City: Large,11.5,Other Education Agency
3601199,NY-320800861155,BRONX ARTS AND SCIENCE CHARTER SCHOOL,Bronx County,925 HUTCHINSON RIVER PKWAY,BRONX,NY,10465,,(718)823-1065,196,20,1,11,City: Large,9.8,Other Education Agency
3600089,NY-321100860855,BRONX CHARTER SCHOOL FOR BETTER LEARNING,Bronx County,3740 BAYCHESTER AVE ANNEX,BRONX,NY,10466,5031,(718)655-6660,551,41,1,11,City: Large,13.4,Other Education Agency
3601127,NY-321100861076,BRONX CHARTER SCHOOL FOR BETTER LEARNING II,Bronx County,2545 GUNTHER AVE,BRONX,NY,10469,,(718)655-6660,454,30,1,11,City: Large,15.1,Other Education Agency
